8238	8299	-1	trnP	tRNA	1.8000000795437288e-11	global	1
8179	8238	1	trnT	tRNA	2.6999999458432455e-10	global	1
13316	13375	1	trnM	tRNA	5.899999933056677e-10	global	1
4747	4806	-1	trnF	tRNA	1.400000004814217e-09	global	1
2384	2444	1	trnK	tRNA	1.500000013088254e-09	global	1
6520	6579	-1	trnH	tRNA	2.2000000043931323e-08	global	1
11104	11163	-1	trnL1	tRNA	3.4999999343199306e-08	global	1
2444	2504	1	trnD	tRNA	5.60000010807471e-08	global	1
1641	1701	1	trnL2	tRNA	2.0000000233721948e-07	global	1
13055	13123	-1	trnQ	tRNA	2.4000000848900527e-06	global	1
13124	13179	-1	trnC	tRNA	5.8999999055231456e-06	global	1
4632	4694	1	trnE	tRNA	6.8999997893115506e-06	global	1
9937	9996	1	trnS2	tRNA	7.300000106624793e-06	global	1
46	100	1	trnG	tRNA	1.1000000085914508e-05	global	1
4572	4634	1	trnN	tRNA	1.4999999621068127e-05	global	1
4689	4748	1	trnR	tRNA	2.2000000171829015e-05	global	1
0	45	1	trnW	tRNA	2.9999999242136255e-05	global	1
13010	13070	-1	trnY	tRNA	5.999999848427251e-05	global	1
13254	13314	1	trnI	tRNA	0.0002099999983329326	global	1
4462	4520	1	trnA	tRNA	0.00022000000171829015	global	1
4520	4569	1	trnS1	tRNA	0.0010000000474974513	global	1
12144	12195	-1	trnV	tRNA	0.07800000160932541	global	1
8238	8299	-1	trnP	tRNA	1.8000000795437288e-11	global	1
8179	8238	1	trnT	tRNA	2.6999999458432455e-10	global	1
14358	45	1	trnW	tRNA	4.300000078227839e-10	global	1
13316	13375	1	trnM	tRNA	5.899999933056677e-10	global	1
4747	4806	-1	trnF	tRNA	1.400000004814217e-09	global	1
2384	2444	1	trnK	tRNA	1.500000013088254e-09	global	1
6520	6579	-1	trnH	tRNA	2.2000000043931323e-08	global	1
11104	11163	-1	trnL1	tRNA	3.4999999343199306e-08	global	1
2444	2504	1	trnD	tRNA	5.60000010807471e-08	global	1
1641	1701	1	trnL2	tRNA	2.0000000233721948e-07	global	1
13055	13123	-1	trnQ	tRNA	2.4000000848900527e-06	global	1
13124	13179	-1	trnC	tRNA	5.8999999055231456e-06	global	1
4632	4694	1	trnE	tRNA	6.8999997893115506e-06	global	1
9937	9996	1	trnS2	tRNA	7.300000106624793e-06	global	1
46	100	1	trnG	tRNA	1.1000000085914508e-05	global	1
4572	4634	1	trnN	tRNA	1.4999999621068127e-05	global	1
4689	4748	1	trnR	tRNA	2.2000000171829015e-05	global	1
13010	13070	-1	trnY	tRNA	5.999999848427251e-05	global	1
13254	13314	1	trnI	tRNA	0.0002099999983329326	global	1
4462	4520	1	trnA	tRNA	0.00022000000171829015	global	1
4520	4569	1	trnS1	tRNA	0.0010000000474974513	global	1
12144	12195	-1	trnV	tRNA	0.07800000160932541	global	1
11111	12263	-1	rrnL	rRNA	0.0	global	1
11110	11818	-1	rrnL	rRNA	0.0	global	1
12188	12934	-1	rrnS	rRNA	0.0	global	1
